idCompra,idVende,Fecha_Compra,Total
1,18,2023-01-01,2601.84
2,2,2023-01-01,15970.56
3,14,2023-01-01,24330.36
4,18,2023-01-01,6950.65
5,1,2023-01-01,21828.0
6,8,2023-01-01,12050.6
7,3,2023-01-01,9487.45
8,4,2023-01-01,10549.47
9,2,2023-01-01,3339.35
10,18,2023-01-01,2268.6
11,14,2023-01-01,3684.02
12,8,2023-01-01,1933.24
13,15,2023-01-01,13935.43
14,14,2023-01-02,26769.11
15,14,2023-01-02,12365.08
16,6,2023-01-02,1297.05
17,2,2023-01-02,14273.44
18,8,2023-01-02,3461.76
19,15,2023-01-02,7366.2
20,3,2023-01-02,4475.34
21,14,2023-01-02,11656.81
22,14,2023-01-02,9783.03
23,7,2023-01-02,14738.13
24,19,2023-01-02,966.5
25,16,2023-01-02,8515.32
26,18,2023-01-02,5446.53
27,14,2023-01-02,8726.4
28,18,2023-01-03,2952.97
29,18,2023-01-03,7049.31
30,2,2023-01-03,3798.59
31,13,2023-01-03,8737.99
32,8,2023-01-03,13329.41
33,9,2023-01-03,11753.01
34,4,2023-01-03,11028.39
35,1,2023-01-03,11165.05
36,4,2023-01-03,8227.43
37,5,2023-01-03,1817.9
38,15,2023-01-03,18778.3
39,15,2023-01-03,5358.2
40,13,2023-01-03,3937.95
41,10,2023-01-03,1981.89
42,19,2023-01-04,6762.79
43,15,2023-01-04,11631.57
44,13,2023-01-04,10140.74
45,2,2023-01-04,12477.87
46,11,2023-01-04,1642.92
47,4,2023-01-04,8174.92
48,12,2023-01-04,5022.81
49,15,2023-01-04,1369.29
50,18,2023-01-04,3222.44
51,8,2023-01-04,12766.32
52,16,2023-01-04,4781.69
53,7,2023-01-04,4872.45
54,4,2023-01-04,7922.52
55,18,2023-01-04,1598.74
56,5,2023-01-05,14666.55
57,16,2023-01-05,9773.71
58,18,2023-01-05,3815.31
59,13,2023-01-05,1525.71
60,4,2023-01-05,6404.69
61,5,2023-01-05,13834.87
62,20,2023-01-05,18365.61
63,2,2023-01-05,6047.13
64,4,2023-01-05,2682.9
65,1,2023-01-05,9400.88
66,6,2023-01-05,17839.14
67,2,2023-01-05,12938.37
68,11,2023-01-05,4206.79
69,20,2023-01-05,12563.44
70,12,2023-01-06,3210.44
71,12,2023-01-06,1103.64
72,6,2023-01-06,16148.11
73,15,2023-01-06,14753.09
74,12,2023-01-06,6674.39
75,19,2023-01-06,7253.73
76,9,2023-01-06,17907.72
77,16,2023-01-06,2755.24
78,16,2023-01-06,30227.49
79,17,2023-01-06,13120.18
80,1,2023-01-06,3078.61
81,10,2023-01-06,10839.98
82,13,2023-01-06,8114.83
83,1,2023-01-06,6489.39
84,18,2023-01-07,10515.4
85,2,2023-01-07,2243.9
86,20,2023-01-07,16790.97
87,19,2023-01-07,4498.29
88,14,2023-01-07,9407.79
89,9,2023-01-07,19039.42
90,15,2023-01-07,8950.77
91,5,2023-01-07,3326.67
92,2,2023-01-07,1181.5
93,13,2023-01-07,12304.16
94,13,2023-01-07,6626.26
95,13,2023-01-07,3298.81
96,20,2023-01-07,1731.28
97,5,2023-01-07,5731.07
98,2,2023-01-08,29016.03
99,18,2023-01-08,12343.1
100,13,2023-01-08,8673.35
101,20,2023-01-08,3606.23
102,10,2023-01-08,13012.6
103,12,2023-01-08,5611.4
104,12,2023-01-08,9599.77
105,7,2023-01-08,18174.48
106,15,2023-01-08,7277.72
107,18,2023-01-08,26102.8
108,14,2023-01-08,1890.72
109,18,2023-01-08,11416.71
110,15,2023-01-08,2688.06
111,4,2023-01-08,970.55
112,9,2023-01-09,3657.9
113,10,2023-01-09,1039.5
114,8,2023-01-09,4109.28
115,18,2023-01-09,4434.03
116,3,2023-01-09,4145.88
117,13,2023-01-09,11354.97
118,5,2023-01-09,18641.05
119,20,2023-01-09,4916.42
120,7,2023-01-09,10995.66
121,14,2023-01-09,16459.83
122,13,2023-01-09,10740.83
123,5,2023-01-09,12838.1
124,18,2023-01-09,2562.79
125,15,2023-01-09,15342.33
126,20,2023-01-10,1803.55
